Player,Position,Team,Games Started,At-Bat,Hit,Double,Triple,Home runs,Runs Batted In,Batting Average,On-Base-Percentage,Slugging Percentage,On Base Plus Slugging,Wins Above Replacement,Salary 2023,Age
Manny Machado,3B,SD,148,578,172,37,1,32,102,0.298,0.367,0.531,0.898,6.55,23000000.00,29
Jose Ramirez,3B,CLE,157,601,168,44,5,29,126,0.28,0.356,0.514,0.87,5.62,14000000.00,29
Austin Riley,3B,ATL,158,615,168,39,2,38,93,0.273,0.349,0.528,0.878,6.3,15000000.00,25
Rafael Devers,3B,BOS,140,555,164,42,1,27,88,0.296,0.358,0.521,0.879,4.57,22500000.00,25
Alec Bohm,3B,PHI,146,586,164,24,4,13,72,0.28,0.316,0.401,0.717,0.9,748000.00,25
Nolan Arenado,3B,STL,147,557,163,42,1,30,103,0.293,0.358,0.533,0.891,7.87,13000000.00,31
Alex Bregman,3B,HOU,153,548,142,38,0,23,93,0.259,0.367,0.454,0.821,4.5,28500000.00,28
Yandy Diaz,3B,TB,126,473,140,33,0,9,57,0.296,0.401,0.423,0.824,3.48,6000000.00,30
Justin Turner,3B,LAD,127,468,130,36,0,13,81,0.278,0.35,0.438,0.788,1.97,8300000.00,37
Ryan McMahon,3B,COL,142,529,130,23,3,20,67,0.246,0.327,0.414,0.741,3.03,9000000.00,27
Eugenio Suarez,3B,SEA,147,543,128,24,2,31,87,0.236,0.332,0.459,0.791,4.39,11000000.00,30
Matt Chapman,3B,TOR,152,538,123,27,1,27,76,0.229,0.324,0.433,0.757,3.54,12000000.00,29
D.J. LeMahieu,3B,NYY,116,467,122,18,0,12,46,0.261,0.357,0.377,0.734,3.77,15000000.00,33
Eduardo Escobar,3B,NYM,130,495,119,26,4,20,69,0.24,0.295,0.43,0.726,1.17,387096.00,33
Harold Castro,3B,DET,107,420,114,21,2,7,47,0.271,0.3,0.381,0.681,-0.24,1300000.00,28
Nicky Lopez,3B,KC,127,436,100,12,4,0,20,0.229,0.283,0.275,0.558,-0.38,3700000.00,27
Ramon Urias,3B,BAL,109,403,100,17,1,16,51,0.248,0.306,0.414,0.721,3.61,734700.00,28
Patrick Wisdom,3B,CHC,127,469,97,28,0,25,66,0.207,0.298,0.426,0.725,0.89,763000.00,30
Jeimer Candelario,3B,DET,119,429,93,19,2,13,50,0.217,0.272,0.361,0.633,0.29,5000000.00,28
Joe Wendle,3B,MIA,85,347,90,24,1,3,32,0.259,0.297,0.36,0.658,2.42,6000000.00,32
Jon Berti,3B,MIA,92,358,86,17,3,4,28,0.24,0.324,0.338,0.662,2.24,2100000.00,32
J.D. Davis,3B,SF,82,318,79,16,1,12,35,0.248,0.34,0.418,0.758,-0.21,4210000.00,29
Emmanuel Rivera,3B,ARI,88,330,77,16,3,12,40,0.233,0.293,0.409,0.702,0.84,615483.00,26
Brian Anderson,3B,MIA,92,338,75,16,1,8,28,0.222,0.311,0.346,0.657,0.54,3500000.00,29
Jace Peterson,3B,MIL,81,288,68,14,2,8,34,0.236,0.316,0.382,0.698,2.39,4500000.00,32
Isaac Paredes,3B,TB,88,331,68,16,0,20,45,0.205,0.305,0.435,0.74,2.41,735000.00,23
Evan Longoria,3B,SF,67,266,65,13,0,14,42,0.244,0.315,0.451,0.767,0.73,4000000.00,36
Matt Duffy,3B,LAA,58,228,57,8,0,2,16,0.25,0.308,0.311,0.619,-0.18,1500000.00,31
Josh H. Smith,3B,TEX,60,213,42,5,0,2,16,0.197,0.307,0.249,0.556,0.12,727095.00,24
Elehuris Montero,3B,COL,45,176,41,15,1,6,20,0.233,0.27,0.432,0.702,0.16,586182.00,23
Matt Carpenter,3B,NYY,35,128,39,9,0,15,37,0.305,0.412,0.727,1.138,2.36,6500000.00,36
Anthony Rendon,3B,LAA,46,166,38,10,0,5,24,0.229,0.326,0.38,0.706,0.85,37182796.00,32
Charlie Culberson,3B,TEX,40,115,29,6,0,2,12,0.252,0.283,0.357,0.64,-0.27,360003.00,33
